date,open,high,low,close,volume
11/11/2016,11.88,12.4,11.84,12.28,79196210
11/10/2016,11.58,11.98,11.58,11.94,52700190
11/9/2016,11.15,11.63,11.07,11.58,60585910
11/8/2016,11.5,11.51,11.35,11.48,28483230
11/7/2016,11.52,11.62,11.39,11.58,25113380
11/4/2016,11.31,11.5,11.3,11.34,24724800
11/3/2016,11.39,11.46,11.27,11.35,38643840
11/2/2016,11.51,11.56,11.36,11.4,36179870
11/1/2016,11.78,11.84,11.5,11.61,35608160
10/31/2016,11.75,11.81,11.69,11.74,31839370
10/28/2016,11.74,11.85,11.625,11.72,37107860
10/27/2016,11.81,11.83,11.6,11.74,48351230
10/26/2016,11.8,11.93,11.76,11.88,36086900
10/25/2016,12.05,12.1,11.76,11.85,42439510
10/24/2016,12.06,12.2,12.06,12.19,33686330
10/21/2016,11.93,12.04,11.85,12.02,24333860
10/20/2016,12.02,12.03,11.9,11.97,18055650
10/19/2016,11.89,12.05,11.88,12.01,26066630
10/18/2016,11.92,11.93,11.71,11.89,39882820
10/17/2016,11.91,12,11.88,11.88,19871180
10/14/2016,11.96,12,11.89,11.91,25766150
10/13/2016,11.91,11.91,11.69,11.91,39876170
10/12/2016,12,12.01,11.94,11.96,20616640
10/11/2016,12.17,12.17,11.91,11.99,39992310
10/10/2016,12.35,12.38,12.1,12.12,24937110
10/7/2016,12.39,12.42,12.2,12.29,22071310
10/6/2016,12.43,12.505,12.33,12.39,25850520
10/5/2016,12.22,12.53,12.22,12.48,55472510
10/4/2016,12.11,12.25,12.09,12.2,23903510
10/3/2016,12.06,12.15,12.02,12.1,20678760
9/30/2016,12,12.14,11.99,12.07,34903140
9/29/2016,12.03,12.12,11.95,11.97,23382560
9/28/2016,12.02,12.09,11.96,12.09,29324740
9/27/2016,12.02,12.09,11.93,11.98,28955020
9/26/2016,12.12,12.12,12,12.01,26718610
9/23/2016,12.12,12.22,12.12,12.17,18955980
9/22/2016,12.17,12.29,12.16,12.18,36127690
9/21/2016,12.08,12.11,12.01,12.09,32924810
9/20/2016,12.09,12.19,11.96,12,37798250
9/19/2016,12.12,12.33,12.0586,12.11,41122960
9/16/2016,12.05,12.13,12.01,12.11,26270590
9/15/2016,12.14,12.18,12.06,12.11,57348390
9/14/2016,12.18,12.31,12.11,12.14,62393730
9/13/2016,12.53,12.68,12.33,12.38,56492350
9/12/2016,12.32,12.77,12.28,12.7,42625070
9/9/2016,12.61,12.685,12.38,12.38,35670880
9/8/2016,12.5,12.75,12.5,12.73,34010960
9/7/2016,12.62,12.75,12.62,12.7,22872420
9/6/2016,12.49,12.67,12.43,12.67,36033340
9/2/2016,12.53,12.57,12.46,12.5,21075290
9/1/2016,12.66,12.72,12.35,12.44,40472820
8/31/2016,12.48,12.61,12.48,12.6,26029640
8/30/2016,12.46,12.56,12.43,12.55,25944360
8/29/2016,12.38,12.5,12.38,12.47,22238740
8/26/2016,12.47,12.55,12.34,12.38,22636150
8/25/2016,12.3,12.52,12.21,12.47,44705020
8/24/2016,12.41,12.44,12.28,12.3,19994800
8/23/2016,12.4,12.43,12.325,12.42,34630480
8/22/2016,12.35,12.38,12.29,12.36,22457320
8/19/2016,12.3,12.41,12.25,12.39,21888590
8/18/2016,12.33,12.36,12.265,12.33,23616020
8/17/2016,12.33,12.39,12.23,12.39,23430690
8/16/2016,12.35,12.43,12.33,12.34,20427580
8/15/2016,12.37,12.44,12.36,12.43,16364390
8/12/2016,12.29,12.37,12.25,12.33,18814570
8/11/2016,12.31,12.37,12.2639,12.31,24972890
8/10/2016,12.3,12.36,12.23,12.25,24522770
8/9/2016,12.16,12.375,12.15,12.31,30042770
8/8/2016,12.22,12.33,12.15,12.18,33262950
8/5/2016,12.16,12.26,12.16,12.19,31212540
8/4/2016,12.12,12.23,12.05,12.08,38428130
8/3/2016,12.02,12.2,11.94,12.13,47300390
8/2/2016,12.35,12.36,11.9,11.94,101534600
8/1/2016,12.61,12.62,12.4,12.48,51951440
7/29/2016,12.61,12.88,12.6,12.66,59737090
7/28/2016,12.78,12.86,12.45,12.71,142032000
7/27/2016,13.86,13.99,13.75,13.84,34591260
7/26/2016,13.73,13.88,13.69,13.86,28466680
7/25/2016,13.86,13.95,13.76,13.83,26203000
7/22/2016,13.92,13.93,13.71,13.84,25127400
7/21/2016,13.87,14.04,13.86,13.92,40768470
7/20/2016,13.61,13.78,13.56,13.74,22571650
7/19/2016,13.56,13.72,13.5,13.65,26137950
7/18/2016,13.56,13.68,13.42,13.65,22545910
7/15/2016,13.63,13.67,13.53,13.57,19520090
7/14/2016,13.57,13.7,13.55,13.59,31669160
7/13/2016,13.49,13.51,13.31,13.48,26754380
7/12/2016,13.38,13.54,13.38,13.45,31314810
7/11/2016,13.17,13.33,13.13,13.27,28595040
7/8/2016,12.89,13.17,12.89,13.09,45928680
7/7/2016,12.57,12.84,12.57,12.75,32253650
7/6/2016,12.32,12.58,12.21,12.57,35082890
7/5/2016,12.57,12.59,12.31,12.4,30185520
7/1/2016,12.88,12.89,12.685,12.72,45063840
6/30/2016,12.56,12.57,12.26,12.57,44975430
6/29/2016,12.49,12.58,12.36,12.55,31924410
6/28/2016,12.42,12.44,12.21,12.39,40591680
6/27/2016,12.43,12.43,12,12.16,52755190
6/24/2016,12.79,12.905,12.45,12.52,96699620
6/23/2016,13.29,13.41,13.28,13.4,24467380
6/22/2016,13.23,13.31,13.15,13.18,20660190
6/21/2016,13.44,13.44,13.18,13.22,36711600
6/20/2016,13.39,13.55,13.39,13.42,29665130
6/17/2016,13.16,13.4,13.15,13.26,37330930
6/16/2016,12.93,13.14,12.85,13.12,26564030
6/15/2016,12.91,13.16,12.88,13.01,25827670
6/14/2016,12.99,13.07,12.76,12.84,30541610
6/13/2016,13.07,13.13,12.96,12.98,20739160
6/10/2016,13.17,13.25,13.05,13.1,27381780
6/9/2016,13.26,13.3,13.14,13.26,19873570
6/8/2016,13.45,13.49,13.35,13.36,18080220
6/7/2016,13.23,13.45,13.18,13.38,27625550
6/6/2016,13.08,13.21,13.04,13.18,25582890
6/3/2016,13.14,13.14,12.9,13.04,39849640
6/2/2016,13.09,13.32,13.045,13.21,41612310
6/1/2016,13.43,13.44,12.97,13.11,58210620
5/31/2016,13.49,13.56,13.4,13.49,26091200
5/27/2016,13.48,13.5401,13.4,13.45,17251540
5/26/2016,13.59,13.68,13.37,13.46,18363840
5/25/2016,13.33,13.6,13.33,13.52,26188300
5/24/2016,13.16,13.3,13.16,13.29,19663080
5/23/2016,13.14,13.2,13.11,13.13,16229780
5/20/2016,13.15,13.26,13.13,13.19,19462800
5/19/2016,13.1,13.195,13.02,13.09,23809030
5/18/2016,13.12,13.34,13.05,13.16,23508710
5/17/2016,13.14,13.31,13.07,13.14,34154850
5/16/2016,13.22,13.375,13.21,13.32,21232700
5/13/2016,13.34,13.52,13.17,13.22,27451880
5/12/2016,13.4,13.47,13.17,13.35,24781230
5/11/2016,13.44,13.54,13.3,13.32,20185700
5/10/2016,13.38,13.52,13.38,13.49,23582870
5/9/2016,13.42,13.5,13.28,13.32,21535630
5/6/2016,13.26,13.48,13.2399,13.44,23283250
5/5/2016,13.35,13.43,13.22,13.32,23803420
5/4/2016,13.29,13.38,13.14,13.31,28891590
5/3/2016,13.5,13.55,13.15,13.43,45575880
5/2/2016,13.67,13.79,13.6,13.62,57926220
4/29/2016,13.93,14.03,13.53,13.56,69624230
4/28/2016,13.79,14.22,13.71,14.09,87571540
4/27/2016,13.64,13.71,13.59,13.66,27112710
4/26/2016,13.66,13.82,13.63,13.75,35196910
4/25/2016,13.59,13.6501,13.47,13.58,19493860
4/22/2016,13.63,13.78,13.51,13.61,28840040
4/21/2016,13.81,13.88,13.56,13.65,38083480
4/20/2016,13.42,13.72,13.4,13.64,32152820
4/19/2016,13.35,13.5,13.28,13.44,28807110
4/18/2016,12.98,13.28,12.95,13.25,30111040
4/15/2016,13.1,13.12,12.85,12.94,22569270
4/14/2016,13.09,13.18,13.02,13.09,22436780
4/13/2016,12.87,13.12,12.85,13.06,29327450
4/12/2016,12.72,12.84,12.66,12.81,23386680
4/11/2016,12.61,12.8,12.58,12.66,27679620
4/8/2016,12.62,12.78,12.51,12.55,20006450
4/7/2016,12.77,12.79,12.39,12.52,37635170
4/6/2016,12.75,12.87,12.65,12.82,22587050
4/5/2016,12.73,12.85,12.52,12.77,32416020
4/4/2016,13.11,13.12,12.76,12.8,42339840
4/1/2016,13.28,13.3255,13.05,13.1,57863680
3/31/2016,13.34,13.52,13.34,13.5,32923320
3/30/2016,13.28,13.44,13.245,13.35,25320820
3/29/2016,13.05,13.2,12.97,13.2,26060280
3/28/2016,13.13,13.17,13.07,13.09,18652510
3/24/2016,13.11,13.12,12.78,13.06,36195380
3/23/2016,13.57,13.605,13.1901,13.26,31521050
3/22/2016,13.65,13.73,13.51,13.59,26056320
3/21/2016,13.64,13.76,13.56,13.66,20836450
3/18/2016,13.54,13.7,13.49,13.64,32177560
3/17/2016,13.47,13.68,13.39,13.47,31451000
3/16/2016,13.21,13.51,13.18,13.5,46986870
3/15/2016,13.12,13.24,13.05,13.23,27684970
3/14/2016,13.28,13.37,13.18,13.27,20570990
3/11/2016,13.26,13.3,13.2,13.29,27539180
3/10/2016,13.25,13.28,12.92,13.15,39059570
3/9/2016,13.25,13.32,13.01,13.19,34141940
3/8/2016,13.51,13.575,13.15,13.23,34763280
3/7/2016,13.46,13.74,13.45,13.62,26117640
3/4/2016,13.56,13.86,13.43,13.59,31813620
3/3/2016,13.25,13.61,13.24,13.54,44518890
3/2/2016,13.06,13.35,13.04,13.22,36589940
3/1/2016,13.01,13.12,12.72,13.09,71511900
2/29/2016,12.42,12.65,12.39,12.51,32989520
2/26/2016,12.52,12.59,12.4,12.47,30226810
2/25/2016,12.11,12.4,12.05,12.39,32019140
2/24/2016,12.11,12.11,11.6,12.08,60558310
2/23/2016,12.53,12.65,12.42,12.42,30128140
2/22/2016,12.24,12.56,12.24,12.56,33539470
2/19/2016,12.19,12.22,12.01,12.1,26467720
2/18/2016,12.4,12.44,12.12,12.26,28782300
2/17/2016,11.99,12.3,11.98,12.27,37756720
2/16/2016,11.75,11.88,11.525,11.87,41037210
